time_s,collector_c,tank_c,pump_on,irradiance_w_m2,solar_absorbed_w,collector_loss_w,tank_loss_w,transfer_w,incident_energy_j,absorbed_energy_j,collector_loss_energy_j,tank_loss_energy_j,transfer_energy_j,pump_electric_energy_j,stored_energy_change_j,tank_energy_change_j,balance_residual_j
55020.0,68.49421111083844,63.69254692468739,1,522.2078019701779,1566.6234059105336,969.8842222167686,87.38509384937478,602.1286889433409,77338410.8737401,58003808.155305125,19412110.763410076,1337314.9961937603,37864284.22523248,1375500.0000000002,37254382.39570123,36526969.229038656,-5.960464477539063e-08
55080.0,68.47232115314733,63.72922415248991,1,519.558438664147,1558.675315992441,969.4464230629467,87.45844830497983,594.7843638824406,77463423.02095419,58097567.265715696,19470290.749154773,1342560.307782086,37900191.69926372,1377000.0000000002,37284716.208778776,36557631.39148156,-6.705522537231445e-08
55140.0,68.44976736653287,63.76536845921982,1,516.8991837143711,1550.6975511431133,968.9953473306573,87.53073691843964,587.4236229770559,77587798.13296689,58190848.599725224,19528444.068645895,1347809.9886735007,37935658.02058135,1378500.0000000002,37314594.54240577,36587848.031907775,-5.960464477539063e-08
55200.0,68.42654982752146,63.80097874855714,1,514.2300877492315,1542.6902632476945,968.5309965504291,87.60195749711428,580.0466133021248,77711533.84185536,58283650.38139157,19586569.92533333,1353063.974851589,37970682.20864543,1380000.0000000002,37344016.481206596,36617618.23379377,-5.960464477539063e-08
55260.0,68.4026686257571,63.83605393490488,1,511.55120158446783,1534.6536047534034,968.053372515142,87.67210786980976,572.6534822328683,77834627.79187006,58375970.843902595,19644667.522766676,1358322.2021690207,38005263.29174957,1381500.0000000002,37372981.11896684,36646941.089580484,-5.960464477539063e-08
55320.0,68.37812386399911,63.870592943408965,1,508.8625762222113,1526.587728666634,967.5624772799822,87.74118588681793,565.2443774420037,77957077.6394796,58467808.22960976,19702736.06461098,1363584.6063488382,38039400.3070388,1383000.0000000002,37401487.55864988,36675815.7006899,-5.960464477539063e-08
55380.0,68.35291565811929,63.90459470997796,1,506.1642628500129,1518.4927885500388,967.0583131623857,87.80918941995591,557.8194468969227,78078881.05341542,58559160.79006162,19760774.75466246,1368851.1229857472,38073092.30052739,1384500.0000000002,37429534.91241336,36704241.17754157,-5.21540641784668e-08
55440.0,68.32704413709936,63.93805818130253,1,503.4563128398699,1510.3689385196096,966.5408827419873,87.87611636260506,550.3788388569229,78200035.71471608,58650026.78603712,19818782.796864245,1374121.6875474087,38106338.32711639,1386000.0000000002,37457122.30162541,36732216.63956892,-5.960464477539063e-08
55500.0,68.30050944302768,63.97098231487481,1,500.73877774724735,1502.2163332417422,966.0101888605536,87.94196462974962,542.9227018703697,78320539.31677148,58740404.48757866,19876759.39532211,1379396.2353757352,38139137.450611144,1387500.0000000002,37484248.856880754,36759741.21523534,-5.960464477539063e-08
55560.0,68.2733117310959,64.00336607900742,1,498.0117093100957,1494.035127930287,965.466234621918,88.00673215801484,535.4511847718954,78440389.56536672,58830292.17402509,19934703.7543202,1384674.7016881865,38171488.743738465,1389000.0000000002,37510913.71801665,36786814.042050205,-5.21540641784668e-08
