time_s,collector_c,tank_c,pump_on,irradiance_w_m2,solar_absorbed_w,collector_loss_w,tank_loss_w,transfer_w,incident_energy_j,absorbed_energy_j,collector_loss_energy_j,tank_loss_energy_j,transfer_energy_j,pump_electric_energy_j,stored_energy_change_j,tank_energy_change_j,balance_residual_j
32700.0,38.730911547016944,29.279812027892348,1,523.4596011555581,1570.378803466674,374.6182309403389,18.559624055784695,1185.1678796982244,13434149.294864781,10075611.971148586,1965089.8034950935,71635.63913023919,7829558.494448242,817500.0000000001,8038886.528523257,7757922.855318002,3.725290298461914e-09
32760.0,38.77039931971161,29.363339761453773,1,521.3982020586504,1564.1946061759513,375.4079863942321,18.726679522907546,1179.6452686055325,13559537.911002427,10169653.43325182,1987591.1705599816,72754.2323208121,7900506.272896169,819000.0000000001,8109308.030371029,7827752.040575354,2.7939677238464355e-09
32820.0,38.80396450716227,29.446434610694237,1,519.0483919566827,1557.1451758700482,376.07929014324543,18.892869221388473,1173.4342490170914,13684397.3576807,10263298.018260526,2010136.3927528951,73882.82335981585,7971102.157900199,820500.0000000001,8179278.802147816,7897219.334540382,9.313225746154785e-10
32880.0,38.831376741539415,29.529046416969674,1,516.4016469235071,1549.2049407705213,376.6275348307883,19.058092833939348,1166.5122227010454,13808657.382819958,10356493.037114969,2032718.2240974682,75021.35730776262,8041304.161894411,822000.0000000001,8248753.455709739,7966282.804586647,9.313225746154785e-10
32940.0,38.85241306994427,29.611123446254105,1,513.4500160655933,1540.3500481967799,377.0482613988854,19.22224689250821,1158.8577188107465,13932245.755567877,10449184.316675907,2055329.1464475198,76169.77311079307,8111068.974179226,823500.0000000001,8317685.397117596,8034899.201068432,9.313225746154785e-10
33000.0,38.86685976947888,29.69261247799097,1,510.18621255920516,1530.5586376776155,377.3371953895776,19.38522495598194,1150.4506103525837,14055088.414700417,10541316.311025312,2077961.379465872,77328.00341680637,8180352.03501726,825000.0000000001,8386026.928142634,8103024.031600451,9.313225746154785e-10
33060.0,38.87451423906607,29.773458909748335,1,506.60370695664204,1519.811120869926,377.49028478132146,19.54691781949667,1141.2723382964443,14177109.639156062,10632832.229367048,2100606.892828252,78495.97440319516,8249107.622952806,826500.0000000001,8453729.362135598,8170611.648549608,-1.862645149230957e-09
33120.0,38.875186957808175,29.853606878176986,1,502.6968221242347,1508.0904663727042,377.50373915616353,19.707213756353973,1131.306141985751,14298232.24117279,10723674.180879593,2123257.4207383962,79673.60561811276,8317288.955774076,828000.0000000001,8520743.154523084,8237615.350155961,0.0
33180.0,38.86870349821893,29.932999396667913,1,498.46082910963867,1495.3824873289159,377.3740699643786,19.865998793335827,1120.5372943344971,14418377.782336345,10813783.33675226,2145904.4788273443,80860.8098372539,8384848.3054516325,829500.0000000001,8587018.04808766,8303987.495614376,-1.862645149230957e-09
33240.0,38.85490658123245,30.011578509991082,1,493.89204317411685,1481.6761295223505,377.098131624649,20.023157019982165,1108.9533401336673,14537466.812672356,10903100.109504268,2168539.3834950626,82057.49293817108,8451737.127290718,831000.0000000001,8652503.233071033,8369679.634352545,-1.862645149230957e-09
