time_s,collector_c,tank_c,pump_on,irradiance_w_m2,solar_absorbed_w,collector_loss_w,tank_loss_w,transfer_w,incident_energy_j,absorbed_energy_j,collector_loss_energy_j,tank_loss_energy_j,transfer_energy_j,pump_electric_energy_j,stored_energy_change_j,tank_energy_change_j,balance_residual_j
68820.0,20.030664879640977,63.70954348506662,0,0.0,0.0,0.613297592819535,87.41908697013324,-0.0,88006317.33209437,66004737.99907085,26907127.71345038,2555971.958910254,39097150.312425904,869978.865095576,36541638.326710306,36541178.35351569,8.940696716308594e-08
68880.0,20.028307251656564,63.70326983818816,0,0.0,0.0,0.5661450331312778,87.40653967637633,-0.0,88006317.33209437,66004737.99907085,26907163.077870145,2561216.7277006437,39097150.312425904,869978.865095576,36536358.19350015,36535933.584725305,8.940696716308594e-08
68940.0,20.026130886725458,63.69699709176855,0,0.0,0.0,0.5226177345091543,87.3939941835371,-0.0,88006317.33209437,66004737.99907085,26907195.72334411,2566460.743707437,39097150.312425904,869978.865095576,36531081.53201939,36530689.56871851,8.940696716308594e-08
69000.0,20.024121848681848,63.69072524567855,0,0.0,0.0,0.4824369736369505,87.3814504913571,-0.0,88006317.33209437,66004737.99907085,26907225.858914763,2571704.0070386813,39097150.312425904,869978.865095576,36525808.1331175,36525446.305387266,8.940696716308594e-08
69060.0,20.022267272823278,63.684454299788925,0,0.0,0.0,0.4453454564655601,87.36890859957785,-0.0,88006317.33209437,66004737.99907085,26907253.67755264,2576946.5178024075,39097150.312425904,869978.865095576,36520537.803715885,36520203.79462354,8.195638656616211e-08
69120.0,20.02055528353262,63.67818425397048,0,0.0,0.0,0.4111056706523897,87.35636850794096,-0.0,88006317.33209437,66004737.99907085,26907279.357392002,2582188.2761066332,39097150.312425904,869978.865095576,36515270.36557231,36514962.03631932,8.940696716308594e-08
69180.0,20.01897491823357,63.67191510809401,0,0.0,0.0,0.37949836467142006,87.34383021618802,-0.0,88006317.33209437,66004737.99907085,26907303.062871486,2587429.2820593584,39097150.312425904,869978.865095576,36510005.65414009,36509721.03036659,8.195638656616211e-08
69240.0,20.01751605719276,63.665646862030364,0,0.0,0.0,0.3503211438552256,87.33129372406073,-0.0,88006317.33209437,66004737.99907085,26907324.9457871,2592669.535768568,39097150.312425904,869978.865095576,36504743.51751528,36504480.77665739,9.685754776000977e-08
69300.0,20.01616935871888,63.65937951565038,0,0.0,0.0,0.3233871743776007,87.31875903130076,-0.0,88006317.33209437,66004737.99907085,26907345.146264207,2597909.0373422327,39097150.312425904,869978.865095576,36499483.8154645,36499241.27508371,8.940696716308594e-08
69360.0,20.01492619934399,63.653113068824936,0,0.0,0.0,0.2985239868797862,87.30622613764987,-0.0,88006317.33209437,66004737.99907085,26907363.79365483,2603147.786888306,39097150.312425904,869978.865095576,36494226.418527804,36494002.52553765,8.940696716308594e-08
69420.0,20.01377861860386,63.64684752142491,0,0.0,0.0,0.2755723720772352,87.29369504284982,-0.0,88006317.33209437,66004737.99907085,26907381.007365935,2608385.7845147275,39097150.312425904,869978.865095576,36488971.20719028,36488764.52791122,8.940696716308594e-08
